t,c,ch,h,l,mv,ra,se,va,vo
061956,1033.23,-16.84,1033.23,1033.23,60800,-1.6,1636,2344239000000,103883800
061951,1033.24,-16.83,1033.24,1033.24,84200,-1.6,1635,2343036000000,103823000
061946,1033.13,-16.94,1033.13,1033.13,102900,-1.61,1634,2341298000000,103738800
061941,1033.38,-16.69,1033.38,1033.38,22500,-1.59,1633,2339044000000,103635900
061936,1033.15,-16.92,1033.15,1033.15,91700,-1.61,1632,2338519000000,103613400
062046,1034.11,-15.96,1034.11,1034.11,27700,-1.52,1646,2362018000000,104697300
062041,1034.05,-16.02,1034.05,1034.05,21600,-1.53,1645,2361465000000,104669600
062036,1034.05,-16.02,1034.05,1034.05,48800,-1.53,1644,2360993000000,104648000
062031,1033.91,-16.16,1033.91,1033.91,123300,-1.54,1643,2359892000000,104599200
062026,1033.93,-16.14,1033.93,1033.93,177300,-1.54,1642,2357700000000,104475900
062021,1033.78,-16.29,1033.78,1033.78,103300,-1.55,1641,2353708000000,104298600
062016,1033.77,-16.3,1033.77,1033.77,81600,-1.55,1640,2351423000000,104195300
062011,1033.23,-16.84,1033.23,1033.23,166300,-1.6,1639,2349815000000,104113700
062121,1034.1,-15.97,1034.1,1034.1,62600,-1.52,1653,2369618000000,105057400
062116,1034.13,-15.94,1034.13,1034.13,67700,-1.52,1652,2368178000000,104994800
062111,1034.17,-15.9,1034.17,1034.17,26500,-1.51,1651,2366846000000,104927100
062106,1033.99,-16.08,1033.99,1033.99,61000,-1.53,1650,2366371000000,104900600
062101,1034.17,-15.9,1034.17,1034.17,52700,-1.51,1649,2365098000000,104839600
062056,1033.94,-16.13,1033.94,1033.94,43500,-1.54,1648,2364212000000,104786900
062051,1034.07,-16.0,1034.07,1034.07,46100,-1.52,1647,2363358000000,104743400
062201,1034.56,-15.51,1034.56,1034.56,8200,-1.48,1661,2378560000000,105402300
062156,1034.67,-15.4,1034.67,1034.67,37400,-1.47,1660,2378421000000,105394100
062151,1034.57,-15.5,1034.57,1034.57,49900,-1.48,1659,2377560000000,105356700
062146,1034.45,-15.62,1034.45,1034.45,76600,-1.49,1658,2376128000000,105306800
062141,1034.32,-15.75,1034.32,1034.32,83700,-1.5,1657,2374254000000,105230200
062136,1034.33,-15.74,1034.33,1034.33,9400,-1.5,1656,2372105000000,105146500
062131,1034.3,-15.77,1034.3,1034.3,24600,-1.5,1655,2371852000000,105137100
062126,1034.39,-15.68,1034.39,1034.39,55100,-1.49,1654,2371283000000,105112500
062241,1034.91,-15.16,1034.91,1034.91,59400,-1.44,1669,2388872000000,105859000
062236,1034.81,-15.26,1034.81,1034.81,57400,-1.45,1668,2387299000000,105799600
062231,1034.77,-15.3,1034.77,1034.77,25200,-1.46,1667,2386155000000,105742200
062226,1034.51,-15.56,1034.51,1034.51,25200,-1.48,1666,2385656000000,105717000
062221,1034.49,-15.58,1034.49,1034.49,170300,-1.48,1665,2385199000000,105691800
062216,1034.55,-15.52,1034.55,1034.55,58600,-1.48,1664,2381151000000,105521500
062211,1034.89,-15.18,1034.89,1034.89,23600,-1.45,1663,2379788000000,105462900
062206,1034.89,-15.18,1034.89,1034.89,37000,-1.45,1662,2379254000000,105439300
062316,1034.51,-15.56,1034.51,1034.51,23100,-1.48,1676,2395504000000,106133100
062311,1034.76,-15.31,1034.76,1034.76,105400,-1.46,1675,2394751000000,106110000
062306,1034.86,-15.21,1034.86,1034.86,42900,-1.45,1674,2392145000000,106004600
062301,1034.68,-15.39,1034.68,1034.68,30400,-1.47,1673,2391235000000,105961700
062256,1034.83,-15.24,1034.83,1034.83,16000,-1.45,1672,2390647000000,105931300
062251,1035.01,-15.06,1035.01,1035.01,43000,-1.43,1671,2390324000000,105915300
062246,1035.01,-15.06,1035.01,1035.01,13300,-1.43,1670,2389352000000,105872300
062356,1034.97,-15.1,1034.97,1034.97,99100,-1.44,1684,2407955000000,106614500
062351,1034.94,-15.13,1034.94,1034.94,116100,-1.44,1683,2404266000000,106515400
062346,1034.98,-15.09,1034.98,1034.98,106500,-1.44,1682,2401574000000,106399300
062341,1034.98,-15.09,1034.98,1034.98,40000,-1.44,1681,2399551000000,106292800
062336,1034.88,-15.19,1034.88,1034.88,26400,-1.45,1680,2398452000000,106252800
062331,1034.68,-15.39,1034.68,1034.68,27400,-1.47,1679,2397895000000,106226400
062326,1034.53,-15.54,1034.53,1034.53,36500,-1.48,1678,2397150000000,106199000
062321,1034.54,-15.53,1034.54,1034.54,29400,-1.48,1677,2396154000000,106162500
062431,1035.33,-14.74,1035.33,1035.33,144700,-1.4,1691,2418123000000,107118800
062426,1035.18,-14.89,1035.18,1035.18,72700,-1.42,1690,2415504000000,106974100
062421,1035.29,-14.78,1035.29,1035.29,14300,-1.41,1689,2413633000000,106901400
062416,1035.28,-14.79,1035.28,1035.28,60700,-1.41,1688,2413274000000,106887100
062411,1035.23,-14.84,1035.23,1035.23,41200,-1.41,1687,2411832000000,106826400
062406,1034.81,-15.26,1034.81,1034.81,70100,-1.45,1686,2411067000000,106785200
062401,1034.75,-15.32,1034.75,1034.75,100600,-1.46,1685,2410096000000,106715100
062511,1035.64,-14.43,1035.64,1035.64,55000,-1.37,1699,2426029000000,107437600
062506,1035.54,-14.53,1035.54,1035.54,40000,-1.38,1698,2424818000000,107382600
062501,1035.55,-14.52,1035.55,1035.55,27200,-1.38,1697,2423713000000,107342600
062456,1035.85,-14.22,1035.85,1035.85,21900,-1.35,1696,2423069000000,107315400
062451,1036.03,-14.04,1036.03,1036.03,19400,-1.34,1695,2422626000000,107293500
062446,1035.63,-14.44,1035.63,1035.63,100200,-1.38,1694,2421901000000,107274100
062441,1035.51,-14.56,1035.51,1035.51,15200,-1.39,1693,2419915000000,107173900
062436,1035.51,-14.56,1035.51,1035.51,39900,-1.39,1692,2419457000000,107158700
062546,1035.83,-14.24,1035.83,1035.83,48000,-1.36,1706,2434899000000,107840200
062541,1035.89,-14.18,1035.89,1035.89,53900,-1.35,1705,2433844000000,107792200
062536,1036.42,-13.65,1036.42,1036.42,70800,-1.3,1704,2432571000000,107738300
062531,1035.78,-14.29,1035.78,1035.78,22700,-1.36,1703,2430898000000,107667500
062526,1036.08,-13.99,1036.08,1036.08,52400,-1.33,1702,2430464000000,107644800
062521,1035.94,-14.13,1035.94,1035.94,129800,-1.35,1701,2429333000000,107592400
062516,1035.7,-14.37,1035.7,1035.7,25000,-1.37,1700,2426641000000,107462600
062626,1036.04,-14.03,1036.04,1036.04,40400,-1.34,1714,2445601000000,108291000
062621,1036.21,-13.86,1036.21,1036.21,30700,-1.32,1713,2444547000000,108250600
062616,1036.06,-14.01,1036.06,1036.06,171800,-1.33,1712,2443738000000,108219900
062611,1035.77,-14.3,1035.77,1035.77,5200,-1.36,1711,2440692000000,108048100
062606,1035.81,-14.26,1035.81,1035.81,18800,-1.36,1710,2440466000000,108042900
062601,1035.83,-14.24,1035.83,1035.83,24500,-1.36,1709,2439869000000,108024100
062556,1035.89,-14.18,1035.89,1035.89,90400,-1.35,1708,2438580000000,107999600
062551,1035.89,-14.18,1035.89,1035.89,69000,-1.35,1707,2436558000000,107909200
062706,1036.02,-14.05,1036.02,1036.02,38700,-1.34,1722,2456123000000,108761100
062701,1035.74,-14.33,1035.74,1035.74,21300,-1.36,1721,2455185000000,108722400
062656,1035.98,-14.09,1035.98,1035.98,17100,-1.34,1720,2454664000000,108701100
062651,1036.04,-14.03,1036.04,1036.04,168900,-1.34,1719,2454268000000,108684000
062646,1036.04,-14.03,1036.04,1036.04,65300,-1.34,1718,2451259000000,108515100
062641,1036.23,-13.84,1036.23,1036.23,27400,-1.32,1717,2449810000000,108449800
062636,1036.27,-13.8,1036.27,1036.27,98400,-1.31,1716,2448982000000,108422400
062631,1035.99,-14.08,1035.99,1035.99,33000,-1.34,1715,2446464000000,108324000
062741,1035.58,-14.49,1035.58,1035.58,11300,-1.38,1729,2470836000000,109351700
062736,1035.59,-14.48,1035.59,1035.59,72400,-1.38,1728,2470506000000,109340400
062731,1035.62,-14.45,1035.62,1035.62,43300,-1.38,1727,2468316000000,109268000
062726,1035.32,-14.75,1035.32,1035.32,134800,-1.4,1726,2466910000000,109224700
062721,1035.34,-14.73,1035.34,1035.34,166300,-1.4,1725,2464076000000,109089900
062716,1036.17,-13.9,1036.17,1036.17,100400,-1.32,1724,2459798000000,108923600
062711,1036.05,-14.02,1036.05,1036.05,62100,-1.34,1723,2457207000000,108823200
062821,1035.77,-14.3,1035.77,1035.77,30200,-1.36,1737,2477393000000,109664500
062816,1035.77,-14.3,1035.77,1035.77,40700,-1.36,1736,2476741000000,109634300
062811,1035.78,-14.29,1035.78,1035.78,111800,-1.36,1735,2475740000000,109593600
